U,Tmax,Rth,dP,Qflow,Ppump
1.000000000000000000e+00,5.308727000000000089e+02,3.078302666666666632e+00,1.289999999993597157e+00,8.800000000000000313e-04,1.135199999994365456e-03
1.500000000000000000e+00,5.024771999999999821e+02,2.699695999999999874e+00,2.199999999997089617e+00,1.319999999999999993e-03,2.903999999996158352e-03
2.000000000000000000e+00,4.865480999999999767e+02,2.487307999999999630e+00,3.240000000005238689e+00,1.760000000000000063e-03,5.702400000009219885e-03
3.000000000000000000e+00,4.687542000000000257e+02,2.250056000000000278e+00,5.619999999995343387e+00,2.639999999999999986e-03,1.483679999998770670e-02
4.000000000000000000e+00,4.588181000000000154e+02,2.117574666666667049e+00,8.309999999997671694e+00,3.520000000000000125e-03,2.925119999999180667e-02
